recipient_name,recipient_role,sec_cik,sec_ticker,sec_title,fiscal_year,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,debt_net_issuance_scale_usd
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2014,0,0.0,0,0.0,,2072000000.0,382000000.0,,,865000000.0,1178000000.0,382000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2015,0,0.0,0,0.0,,2528000000.0,368000000.0,,,528000000.0,2779000000.0,368000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2016,0,0.0,0,0.0,,1616000000.0,361000000.0,,,711000000.0,3618000000.0,361000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2017,0,0.0,0,0.0,,2299000000.0,284000000.0,,,742000000.0,3990000000.0,284000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2018,0,0.0,0,0.0,,2302000000.0,273000000.0,,,821000000.0,3090000000.0,273000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2019,0,0.0,0,0.0,,2402000000.0,297000000.0,,,941000000.0,1504000000.0,297000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2020,0,0.0,0,0.0,,2811000000.0,364000000.0,,,1124000000.0,1981000000.0,364000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2021,0,0.0,0,0.0,,2995000000.0,326000000.0,,,1321000000.0,2564000000.0,326000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2022,0,0.0,0,0.0,,2807000000.0,236000000.0,,,1379000000.0,1527000000.0,236000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2023,0,0.0,0,0.0,,2557000000.0,296000000.0,,,1463000000.0,708000000.0,296000000.0,,
"ILLINOIS TOOL WORKS, INC.",downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2024,0,0.0,0,0.0,,2348000000.0,412000000.0,,,1542000000.0,1065000000.0,412000000.0,,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2010,0,0.0,1,17941.0,19811000.0,193146000.0,63430000.0,,388371000.0,,91988000.0,63430000.0,388371000.0,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2011,0,0.0,1,17941.0,-2249000.0,140787000.0,52906000.0,,275796000.0,,144390000.0,52906000.0,275796000.0,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2012,0,0.0,1,17941.0,104770000.0,254591000.0,62822000.0,,155163000.0,,121893000.0,62822000.0,155163000.0,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2013,0,0.0,1,17941.0,-510157000.0,,60076000.0,,848054000.0,,169477000.0,60076000.0,848054000.0,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2014,0,0.0,1,17941.0,108275000.0,,50543000.0,,115002000.0,,133086000.0,50543000.0,115002000.0,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2015,0,0.0,1,17941.0,-153153000.0,,60020000.0,,73750000.0,,136411000.0,60020000.0,73750000.0,
ITRON INC,prime_award,0000780571,ITRI,"ITRON, INC.",2016,0,0.0,1,17941.0,-23670000.0,,44495000.0,,102438000.0,,124805000.0,44495000.0,102438000.0,
